UniProtKB-AC,PROSITE_PROFILE_Ndomains,PROSITE_PROFILE_domains,Gene3D_Ndomains,Gene3D_domains,PANTHER_Ndomains,PANTHER_domains,Pfam_Ndomains,Pfam_domains,SUPERFAMILY_Ndomains,SUPERFAMILY_domains,PROSITE_PATTERN_Ndomains,PROSITE_PATTERN_domains,SMART_Ndomains,SMART_domains,TIGRFAM_Ndomains,TIGRFAM_domains
P11914,,,,,1.0,{'1': '19-436'},2.0,"{'1': '182-374', '2': '29-176'}",2.0,"{'1': '19-229', '2': '235-459'}",1.0,{'1': '49-72'},,,,
P11938,,,2.0,"{'1': '115-216', '2': '778-827'}",1.0,{'1': '108-825'},4.0,"{'1': '362-411', '2': '126-206', '3': '448-579', '4': '741-823'}",3.0,"{'1': '360-439', '2': '446-594', '3': '95-213'}",3.0,"{'1': '355-411', '2': '121-208', '3': '355-415'}",2.0,"{'1': '359-413', '2': '123-198'}",,
P11972,,,2.0,"{'1': '268-361', '2': '394-689'}",,,2.0,"{'1': '289-353', '2': '421-538'}",2.0,"{'1': '416-687', '2': '257-366'}",2.0,"{'1': '273-358', '2': '420-689'}",3.0,"{'1': '50-135', '2': '279-358', '3': '420-689'}",,
P11978,,,,,,,1.0,{'1': '746-886'},,,,,,,,
P11986,,,,,1.0,{'1': '10-530'},2.0,"{'1': '66-515', '2': '324-439'}",1.0,{'1': '10-532'},,,,,,
P12383,,,1.0,{'1': '37-100'},1.0,{'1': '36-957'},2.0,"{'1': '44-78', '2': '311-651'}",1.0,{'1': '36-78'},2.0,"{'1': '45-72', '2': '45-74'}",2.0,"{'1': '40-83', '2': '490-563'}",,
P12385,,,3.0,"{'1': '1-133', '2': '275-430', '3': '134-273'}",1.0,{'1': '3-423'},3.0,"{'1': '15-136', '2': '142-273', '3': '277-412'}",2.0,"{'1': '5-138', '2': '274-416'}",,,1.0,{'1': '2-138'},1.0,{'1': '10-412'}
P12611,,,1.0,{'1': '13-191'},,,,,1.0,{'1': '40-119'},,,,,,
P12612,5.0,"{'1': '38-54', '2': '60-78', '3': '90-109', '4': '384-406', '5': '418-430'}",3.0,"{'1': '220-380', '2': '146-416', '3': '33-545'}",1.0,{'1': '21-547'},1.0,{'1': '36-546'},3.0,"{'1': '215-389', '2': '148-415', '3': '19-546'}",3.0,"{'1': '41-53', '2': '62-78', '3': '90-98'}",,,1.0,{'1': '14-553'}
P12630,4.0,"{'1': '51-71', '2': '222-235', '3': '284-295', '4': '369-384'}",2.0,"{'1': '36-227', '2': '229-406'}",1.0,{'1': '38-394'},1.0,{'1': '45-395'},1.0,{'1': '37-400'},2.0,"{'1': '284-295', '2': '45-393'}",,,,
P12683,6.0,"{'1': '681-702', '2': '708-728', '3': '799-817', '4': '841-866', '5': '892-918', '6': '944-965'}",3.0,"{'1': '742-860', '2': '692-1020', '3': '607-691'}",1.0,{'1': '212-1026'},3.0,"{'1': '646-1025', '2': '10-160', '3': '215-361'}",2.0,"{'1': '742-860', '2': '601-1015'}",5.0,"{'1': '189-357', '2': '618-1025', '3': '801-815', '4': '956-963', '5': '1010-1023'}",,,1.0,{'1': '616-1025'}
P12684,6.0,"{'1': '677-698', '2': '704-724', '3': '795-813', '4': '837-862', '5': '888-914', '6': '940-961'}",3.0,"{'1': '738-856', '2': '688-1016', '3': '601-687'}",1.0,{'1': '211-1024'},3.0,"{'1': '643-1021', '2': '10-159', '3': '213-361'}",2.0,"{'1': '738-856', '2': '598-1011'}",5.0,"{'1': '188-356', '2': '614-1021', '3': '797-811', '4': '952-959', '5': '1006-1019'}",,,1.0,{'1': '612-1021'}
P12685,,,,,1.0,{'1': '19-1189'},1.0,{'1': '625-1179'},,,,,,,1.0,{'1': '3-1173'}
P12687,3.0,"{'1': '30-54', '2': '55-79', '3': '80-104'}",,,1.0,{'1': '20-135'},2.0,"{'1': '28-109', '2': '135-371'}",,,1.0,{'1': '60-74'},,,1.0,{'1': '27-109'}
P12688,,,,,,,2.0,"{'1': '349-602', '2': '623-663'}",1.0,{'1': '344-668'},4.0,"{'1': '347-602', '2': '603-673', '3': '466-478', '4': '353-380'}",2.0,"{'1': '347-602', '2': '603-665'}",,
P12689,,,3.0,"{'1': '159-251', '2': '621-741', '3': '431-532'}",,,4.0,"{'1': '361-521', '2': '164-247', '3': '620-745', '4': '548-603'}",3.0,"{'1': '143-249', '2': '619-732', '3': '341-605'}",2.0,"{'1': '358-554', '2': '161-249'}",1.0,{'1': '163-239'},,
P12695,,,2.0,"{'1': '235-479', '2': '164-215'}",1.0,{'1': '21-482'},3.0,"{'1': '37-108', '2': '250-482', '3': '174-209'}",2.0,"{'1': '33-126', '2': '169-213'}",3.0,"{'1': '34-110', '2': '59-88', '3': '175-212'}",,,1.0,{'1': '37-482'}
P12709,6.0,"{'1': '161-180', '2': '273-291', '3': '350-371', '4': '471-489', '5': '489-503', '6': '503-516'}",1.0,{'1': '513-554'},1.0,{'1': '8-552'},1.0,{'1': '63-547'},1.0,{'1': '13-553'},3.0,"{'1': '15-553', '2': '503-520', '3': '277-290'}",,,,
P12753,,,2.0,"{'1': '3-298', '2': '1047-1304'}",,,2.0,"{'1': '666-718', '2': '6-250'}",1.0,{'1': '19-1278'},1.0,{'1': '640-741'},,,1.0,{'1': '3-1303'}
P12754,,,1.0,{'1': '382-647'},,,1.0,{'1': '286-637'},1.0,{'1': '269-647'},,,,,,
P12866,,,3.0,"{'1': '355-645', '2': '1044-1290', '3': '77-1015'}",1.0,{'1': '19-607'},4.0,"{'1': '375-533', '2': '1071-1218', '3': '27-304', '4': '717-992'}",4.0,"{'1': '349-598', '2': '1050-1288', '3': '20-327', '4': '712-1022'}",6.0,"{'1': '357-603', '2': '1052-1287', '3': '29-319', '4': '718-1007', '5': '506-520', '6': '1190-1204'}",2.0,"{'1': '384-586', '2': '1079-1263'}",,
P12868,,,2.0,"{'1': '877-997', '2': '35-308'}",,,3.0,"{'1': '976-1022', '2': '6-347', '3': '398-590'}",1.0,{'1': '31-269'},2.0,"{'1': '406-583', '2': '928-972'}",2.0,"{'1': '928-972', '2': '927-973'}",,
P12887,,,1.0,{'1': '81-339'},1.0,{'1': '27-336'},1.0,{'1': '153-323'},1.0,{'1': '101-335'},1.0,{'1': '155-164'},1.0,{'1': '147-323'},1.0,{'1': '104-326'}
P12904,,,2.0,"{'1': '1-182', '2': '183-322'}",1.0,{'1': '13-317'},3.0,"{'1': '124-174', '2': '195-245', '3': '270-318'}",2.0,"{'1': '14-181', '2': '182-319'}",3.0,"{'1': '118-181', '2': '194-253', '3': '262-322'}",4.0,"{'1': '40-89', '2': '122-175', '3': '198-246', '4': '270-318'}",,
P12945,,,,,,,2.0,"{'1': '199-510', '2': '548-736'}",2.0,"{'1': '27-286', '2': '240-472'}",,,6.0,"{'1': '20-53', '2': '54-87', '3': '91-124', '4': '241-274', '5': '384-417', '6': '418-451'}",,
P12962,,,,,,,1.0,{'1': '3-153'},,,,,,,,
P13090,,,2.0,"{'1': '68-264', '2': '265-521'}",,,1.0,{'1': '76-475'},1.0,{'1': '72-522'},1.0,{'1': '71-526'},,,,
P13099,5.0,"{'1': '115-128', '2': '229-247', '3': '351-360', '4': '445-461', '5': '544-558'}",3.0,"{'1': '178-634', '2': '253-528', '3': '317-459'}",1.0,{'1': '1-647'},2.0,"{'1': '3-155', '2': '171-625'}",1.0,{'1': '2-637'},3.0,"{'1': '2-156', '2': '172-635', '3': '346-360'}",3.0,"{'1': '147-259', '2': '309-585', '3': '2-141'}",,
P13134,3.0,"{'1': '166-185', '2': '209-222', '3': '382-398'}",1.0,{'1': '124-461'},,,2.0,"{'1': '166-445', '2': '505-590'}",2.0,"{'1': '462-598', '2': '130-459'}",4.0,"{'1': '462-596', '2': '213-223', '3': '171-182', '4': '383-393'}",,,,
P13181,5.0,"{'1': '82-92', '2': '177-196', '3': '341-351', '4': '436-457', '5': '459-471'}",1.0,{'1': '65-537'},1.0,{'1': '65-546'},1.0,{'1': '74-534'},1.0,{'1': '73-532'},2.0,"{'1': '182-207', '2': '74-523'}",,,1.0,{'1': '21-530'}
P13185,,,,,,,2.0,"{'1': '121-398', '2': '1021-1064'}",2.0,"{'1': '117-399', '2': '885-1064'}",4.0,"{'1': '120-398', '2': '1015-1064', '3': '265-277', '4': '126-149'}",1.0,{'1': '120-398'},,
P13186,,,,,,,2.0,"{'1': '100-377', '2': '1104-1147'}",2.0,"{'1': '96-378', '2': '914-1147'}",4.0,"{'1': '99-377', '2': '1098-1147', '3': '244-256', '4': '105-128'}",1.0,{'1': '99-377'},,
P13188,4.0,"{'1': '255-267', '2': '269-280', '3': '284-297', '4': '438-448'}",5.0,"{'1': '215-570', '2': '571-697', '3': '698-809', '4': '1-115', '5': '116-187'}",1.0,{'1': '13-806'},5.0,"{'1': '166-244', '2': '5-163', '3': '251-564', '4': '568-669', '5': '685-746'}",1.0,{'1': '568-805'},1.0,{'1': '258-269'},,,1.0,{'1': '252-809'}
P13298,,,1.0,{'1': '2-226'},,,1.0,{'1': '53-173'},1.0,{'1': '7-205'},,,,,1.0,{'1': '14-198'}
P13382,3.0,"{'1': '860-873', '2': '940-952', '3': '992-1000'}",5.0,"{'1': '773-977', '2': '811-1053', '3': '534-769', '4': '1263-1452', '5': '1071-1258'}",,,4.0,"{'1': '472-719', '2': '784-1229', '3': '1270-1463', '4': '11-76'}",2.0,"{'1': '348-813', '2': '794-1249'}",1.0,{'1': '994-1002'},1.0,{'1': '534-1006'},,
P13393,6.0,"{'1': '67-82', '2': '91-110', '3': '110-128', '4': '157-173', '5': '181-196', '6': '200-216'}",2.0,"{'1': '68-237', '2': '72-157'}",1.0,{'1': '44-239'},2.0,"{'1': '65-146', '2': '154-237'}",,,1.0,{'1': '185-234'},,,,
P13433,,,2.0,"{'1': '732-815', '2': '397-730'}",1.0,{'1': '335-1351'},2.0,"{'1': '415-731', '2': '855-1351'}",1.0,{'1': '387-1351'},2.0,"{'1': '1008-1022', '2': '941-952'}",1.0,{'1': '414-731'},,
P13517,5.0,"{'1': '5-25', '2': '26-47', '3': '58-84', '4': '103-130', '5': '229-255'}",2.0,"{'1': '96-287', '2': '1-89'}",1.0,{'1': '1-282'},1.0,{'1': '6-257'},1.0,{'1': '2-264'},1.0,{'1': '63-68'},,,,
P13574,,,,,1.0,{'1': '1-674'},1.0,{'1': '58-167'},,,,,1.0,{'1': '57-167'},,
P13586,4.0,"{'1': '533-551', '2': '650-666', '3': '678-694', '4': '710-735'}",2.0,"{'1': '366-723', '2': '379-581'}",,,2.0,"{'1': '39-108', '2': '762-935'}",4.0,"{'1': '150-269', '2': '37-939', '3': '375-586', '4': '367-781'}",1.0,{'1': '371-377'},1.0,{'1': '37-113'},3.0,"{'1': '247-389', '2': '626-767', '3': '35-940'}"
P13587,,,2.0,"{'1': '364-800', '2': '377-650'}",,,2.0,"{'1': '17-85', '2': '845-1044'}",4.0,"{'1': '128-239', '2': '17-1052', '3': '374-647', '4': '366-864'}",1.0,{'1': '369-375'},1.0,{'1': '16-90'},4.0,"{'1': '96-192', '2': '275-386', '3': '730-836', '4': '11-1055'}"
P13663,,,,,1.0,{'1': '4-365'},2.0,"{'1': '8-130', '2': '165-345'}",1.0,{'1': '8-181'},1.0,{'1': '243-257'},1.0,{'1': '6-132'},1.0,{'1': '8-359'}
P13711,,,2.0,"{'1': '30-175', '2': '184-322'}",1.0,{'1': '16-708'},4.0,"{'1': '549-724', '2': '185-295', '3': '31-172', '4': '331-502'}",3.0,"{'1': '133-310', '2': '331-506', '3': '554-711'}",,,,,,
P13712,,,1.0,{'1': '15-421'},1.0,{'1': '13-418'},3.0,"{'1': '376-412', '2': '204-356', '3': '21-88'}",1.0,{'1': '125-414'},3.0,"{'1': '292-334', '2': '336-379', '3': '312-326'}",6.0,"{'1': '119-158', '2': '189-229', '3': '240-280', '4': '285-325', '5': '330-370', '6': '371-413'}",,
P13856,,,1.0,{'1': '1-167'},1.0,{'1': '3-210'},1.0,{'1': '5-166'},1.0,{'1': '3-175'},1.0,{'1': '1-272'},1.0,{'1': '6-168'},1.0,{'1': '1-158'}
P14020,,,1.0,{'1': '2-238'},1.0,{'1': '4-235'},1.0,{'1': '6-170'},1.0,{'1': '5-262'},,,,,,
P14063,,,,,1.0,{'1': '1-131'},1.0,{'1': '10-131'},,,,,,,,
P14065,5.0,"{'1': '42-66', '2': '96-114', '3': '154-171', '4': '190-219', '5': '229-253'}",1.0,{'1': '3-308'},1.0,{'1': '12-293'},1.0,{'1': '23-292'},1.0,{'1': '12-301'},3.0,"{'1': '154-171', '2': '262-277', '3': '46-63'}",,,,
P14120,,,1.0,{'1': '2-105'},1.0,{'1': '5-104'},1.0,{'1': '9-101'},1.0,{'1': '9-102'},2.0,"{'1': '20-44', '2': '76-96'}",,,,
P14126,,,1.0,{'1': '1-271'},1.0,{'1': '1-384'},1.0,{'1': '1-366'},1.0,{'1': '4-366'},1.0,{'1': '209-232'},,,,
P14127,,,1.0,{'1': '1-62'},1.0,{'1': '1-122'},1.0,{'1': '1-117'},1.0,{'1': '1-62'},1.0,{'1': '41-56'},,,,
P14164,,,,,,,1.0,{'1': '7-731'},,,,,,,,
P14180,,,,,1.0,{'1': '125-939'},1.0,{'1': '237-291'},1.0,{'1': '288-674'},,,,,,
P14242,,,4.0,"{'1': '221-365', '2': '1-219', '3': '666-867', '4': '720-821'}",1.0,{'1': '1-862'},2.0,"{'1': '259-355', '2': '677-827'}",3.0,"{'1': '197-357', '2': '18-217', '3': '673-858'}",1.0,{'1': '94-100'},2.0,"{'1': '215-357', '2': '676-827'}",1.0,{'1': '4-423'}
P14306,,,1.0,{'1': '1-219'},1.0,{'1': '15-217'},1.0,{'1': '58-208'},1.0,{'1': '7-217'},1.0,{'1': '89-111'},,,,
P14540,,,1.0,{'1': '5-359'},1.0,{'1': '5-358'},1.0,{'1': '19-357'},,,2.0,"{'1': '101-112', '2': '172-183'}",,,2.0,"{'1': '14-358', '2': '8-358'}"
P14680,,,,,1.0,{'1': '58-707'},1.0,{'1': '371-704'},1.0,{'1': '364-719'},3.0,"{'1': '369-704', '2': '492-504', '3': '375-398'}",1.0,{'1': '369-704'},,
P14681,,,,,1.0,{'1': '13-324'},1.0,{'1': '13-313'},1.0,{'1': '5-322'},4.0,"{'1': '13-313', '2': '47-155', '3': '139-151', '4': '19-43'}",1.0,{'1': '13-313'},,
P14682,,,1.0,{'1': '4-173'},1.0,{'1': '7-167'},1.0,{'1': '16-162'},1.0,{'1': '9-167'},2.0,"{'1': '7-169', '2': '84-99'}",,,,
P14693,,,,,,,1.0,{'1': '5-133'},,,,,,,,
P14724,,,,,,,1.0,{'1': '1-85'},,,,,,,,
P14736,,,2.0,"{'1': '126-432', '2': '557-632'}",1.0,{'1': '301-686'},3.0,"{'1': '285-425', '2': '432-487', '3': '551-624'}",1.0,{'1': '144-445'},,,3.0,"{'1': '430-488', '2': '490-543', '3': '551-626'}",1.0,{'1': '32-667'}
P14737,,,1.0,{'1': '997-1144'},1.0,{'1': '138-1289'},2.0,"{'1': '996-1109', '2': '772-900'}",1.0,{'1': '995-1132'},1.0,{'1': '994-1122'},1.0,{'1': '996-1112'},,
P14741,,,2.0,"{'1': '2-105', '2': '106-305'}",1.0,{'1': '6-302'},1.0,{'1': '16-292'},1.0,{'1': '3-303'},,,,,,
P14742,,,1.0,{'1': '2-338'},,,2.0,"{'1': '395-521', '2': '565-699'}",2.0,"{'1': '2-324', '2': '349-717'}",3.0,"{'1': '390-529', '2': '562-707', '3': '2-318'}",,,,
P14743,,,,,1.0,{'1': '3-454'},2.0,"{'1': '58-217', '2': '231-453'}",2.0,"{'1': '35-218', '2': '219-455'}",2.0,"{'1': '167-175', '2': '412-418'}",,,,
P14747,7.0,"{'1': '138-165', '2': '167-194', '3': '200-224', '4': '234-260', '5': '263-290', '6': '351-371', '7': '379-395'}",1.0,{'1': '62-540'},1.0,{'1': '64-594'},1.0,{'1': '138-361'},1.0,{'1': '72-596'},1.0,{'1': '201-206'},1.0,{'1': '110-425'},,
P14772,,,4.0,"{'1': '604-891', '2': '1285-1552', '3': '262-596', '4': '945-1284'}",1.0,{'1': '220-1553'},5.0,"{'1': '659-795', '2': '1319-1484', '3': '297-565', '4': '981-1251', '5': '22-161'}",4.0,"{'1': '650-864', '2': '1294-1551', '3': '272-586', '4': '980-1288'}",6.0,"{'1': '639-871', '2': '1302-1553', '3': '302-578', '4': '981-1265', '5': '770-784', '6': '1456-1470'}",2.0,"{'1': '664-854', '2': '1328-1530'}",,
P14832,5.0,"{'1': '22-37', '2': '51-63', '3': '94-109', '4': '109-121', '5': '122-137'}",1.0,{'1': '1-162'},,,1.0,{'1': '5-156'},1.0,{'1': '2-162'},2.0,"{'1': '5-161', '2': '46-63'}",,,,
P14843,,,1.0,{'1': '9-369'},1.0,{'1': '10-368'},1.0,{'1': '46-354'},,,,,,,1.0,{'1': '15-365'}
P14904,6.0,"{'1': '126-142', '2': '160-180', '3': '198-215', '4': '336-354', '5': '379-395', '6': '468-483'}",1.0,{'1': '137-286'},1.0,{'1': '48-510'},1.0,{'1': '59-501'},,,,,,,,
P14905,,,1.0,{'1': '244-379'},1.0,{'1': '6-382'},1.0,{'1': '247-376'},1.0,{'1': '241-376'},,,,,,
P14906,3.0,"{'1': '127-145', '2': '145-160', '3': '168-188'}",1.0,{'1': '111-207'},,,1.0,{'1': '125-192'},2.0,"{'1': '431-612', '2': '121-198'}",2.0,"{'1': '125-196', '2': '173-192'}",2.0,"{'1': '124-188', '2': '249-608'}",,
P14907,,,,,1.0,{'1': '9-822'},1.0,{'1': '621-730'},,,,,,,,
P14922,,,3.0,"{'1': '42-123', '2': '124-275', '3': '276-422'}",1.0,{'1': '19-651'},2.0,"{'1': '332-361', '2': '82-113'}",1.0,{'1': '22-409'},8.0,"{'1': '46-79', '2': '80-113', '3': '114-147', '4': '150-183', '5': '187-220', '6': '224-257', '7': '296-329', '8': '330-363'}",10.0,"{'1': '46-79', '2': '80-113', '3': '114-147', '4': '150-183', '5': '187-220', '6': '224-257', '7': '258-295', '8': '296-329', '9': '330-363', '10': '364-398'}",,
P15019,,,1.0,{'1': '1-334'},1.0,{'1': '10-332'},1.0,{'1': '26-328'},,,2.0,"{'1': '141-158', '2': '43-51'}",,,1.0,{'1': '14-333'}
P15108,7.0,"{'1': '4-24', '2': '25-47', '3': '74-91', '4': '92-109', '5': '117-139', '6': '169-186', '7': '187-205'}",2.0,"{'1': '1-231', '2': '523-673'}",1.0,{'1': '3-697'},1.0,{'1': '183-690'},3.0,"{'1': '268-523', '2': '4-211', '3': '545-668'}",1.0,{'1': '24-33'},1.0,{'1': '26-164'},,
P15179,4.0,"{'1': '221-233', '2': '238-251', '3': '545-561', '4': '588-602'}",3.0,"{'1': '321-473', '2': '25-134', '3': '150-647'}",,,2.0,"{'1': '150-627', '2': '51-128'}",2.0,"{'1': '18-132', '2': '150-626'}",1.0,{'1': '168-642'},,,1.0,{'1': '33-657'}
P15180,5.0,"{'1': '262-272', '2': '278-294', '3': '307-320', '4': '325-342', '5': '461-477'}",2.0,"{'1': '64-217', '2': '221-591'}",,,2.0,"{'1': '225-576', '2': '124-209'}",2.0,"{'1': '68-217', '2': '225-577'}",1.0,{'1': '250-578'},,,1.0,{'1': '71-579'}
P15274,,,,,1.0,{'1': '80-802'},1.0,{'1': '160-802'},1.0,{'1': '180-796'},1.0,{'1': '703-709'},,,1.0,{'1': '188-797'}
P15303,,,2.0,"{'1': '626-730', '2': '121-398'}",1.0,{'1': '3-764'},5.0,"{'1': '53-93', '2': '120-387', '3': '524-622', '4': '637-724', '5': '399-510'}",4.0,"{'1': '45-117', '2': '524-626', '3': '627-764', '4': '120-389'}",,,,,,
P15315,3.0,"{'1': '1-13', '2': '14-26', '3': '27-39'}",1.0,{'1': '1-42'},1.0,{'1': '1-206'},1.0,{'1': '2-40'},1.0,{'1': '1-41'},2.0,"{'1': '1-39', '2': '1-40'}",2.0,"{'1': '1-40', '2': '1-40'}",,
P15367,2.0,"{'1': '40-55', '2': '98-109'}",,,1.0,{'1': '7-164'},1.0,{'1': '30-121'},1.0,{'1': '37-114'},2.0,"{'1': '42-49', '2': '98-111'}",,,1.0,{'1': '9-159'}
P15424,,,2.0,"{'1': '89-335', '2': '336-595'}",,,2.0,"{'1': '360-471', '2': '130-314'}",1.0,{'1': '182-491'},3.0,"{'1': '265-273', '2': '355-512', '3': '139-326'}",2.0,"{'1': '387-471', '2': '125-345'}",,
P15436,3.0,"{'1': '604-617', '2': '697-709', '3': '758-766'}",3.0,"{'1': '586-817', '2': '314-532', '3': '834-985'}",1.0,{'1': '98-1014'},4.0,"{'1': '248-482', '2': '546-973', '3': '1009-1080', '4': '159-225'}",2.0,"{'1': '130-552', '2': '573-976'}",1.0,{'1': '760-768'},1.0,{'1': '313-772'},,
P15442,,,3.0,"{'1': '1-138', '2': '1388-1493', '3': '1029-1366'}",1.0,{'1': '583-1014'},6.0,"{'1': '299-526', '2': '600-669', '3': '748-981', '4': '13-125', '5': '1387-1657', '6': '1076-1356'}",4.0,"{'1': '299-529', '2': '588-1019', '3': '2-132', '4': '1033-1361'}",5.0,"{'1': '256-527', '2': '599-981', '3': '17-128', '4': '831-843', '5': '605-629'}",2.0,"{'1': '599-981', '2': '17-128'}",,
P15496,,,,,,,1.0,{'1': '103-257'},1.0,{'1': '72-272'},1.0,{'1': '102-259'},,,1.0,{'1': '74-261'}
P15565,,,2.0,"{'1': '42-429', '2': '433-491'}",1.0,{'1': '37-566'},1.0,{'1': '33-490'},1.0,{'1': '43-490'},1.0,{'1': '43-489'},,,1.0,{'1': '45-496'}
P15624,,,2.0,"{'1': '85-293', '2': '384-595'}",1.0,{'1': '1-595'},4.0,"{'1': '102-253', '2': '297-365', '3': '1-79', '4': '381-590'}",3.0,"{'1': '5-72', '2': '295-369', '3': '363-594'}",1.0,{'1': '292-370'},2.0,"{'1': '103-268', '2': '294-365'}",1.0,{'1': '1-595'}
P15625,,,1.0,{'1': '228-500'},,,3.0,"{'1': '213-484', '2': '136-168', '3': '70-125'}",1.0,{'1': '218-483'},1.0,{'1': '231-493'},,,1.0,{'1': '155-492'}
P15646,7.0,"{'1': '106-125', '2': '140-159', '3': '167-188', '4': '192-209', '5': '217-246', '6': '247-276', '7': '299-320'}",1.0,{'1': '145-322'},,,1.0,{'1': '88-321'},1.0,{'1': '88-320'},1.0,{'1': '192-206'},1.0,{'1': '88-322'},,
P15700,5.0,"{'1': '20-33', '2': '48-62', '3': '100-116', '4': '148-163', '5': '165-179'}",1.0,{'1': '2-204'},1.0,{'1': '14-197'},,,1.0,{'1': '11-201'},1.0,{'1': '100-111'},,,1.0,{'1': '18-199'}
P15703,,,,,1.0,{'1': '6-311'},1.0,{'1': '27-310'},1.0,{'1': '32-310'},1.0,{'1': '227-240'},,,,
P15705,,,3.0,"{'1': '2-129', '2': '259-390', '3': '394-518'}",,,5.0,"{'1': '430-463', '2': '76-107', '3': '338-363', '4': '138-193', '5': '528-580'}",3.0,"{'1': '5-118', '2': '261-384', '3': '394-496'}",5.0,"{'1': '5-38', '2': '74-107', '3': '262-295', '4': '336-369', '5': '396-429'}",11.0,"{'1': '138-177', '2': '537-576', '3': '5-38', '4': '40-73', '5': '74-107', '6': '262-295', '7': '296-328', '8': '336-369', '9': '396-429', '10': '430-463', '11': '464-497'}",,
P15731,,,1.0,{'1': '1-148'},,,1.0,{'1': '6-142'},1.0,{'1': '3-147'},2.0,"{'1': '2-148', '2': '75-90'}",,,,
P15732,,,1.0,{'1': '1-148'},,,1.0,{'1': '6-142'},1.0,{'1': '3-147'},2.0,"{'1': '2-148', '2': '75-90'}",,,,
P15790,,,,,1.0,{'1': '7-369'},1.0,{'1': '128-363'},1.0,{'1': '16-367'},3.0,"{'1': '40-363', '2': '191-203', '3': '46-69'}",1.0,{'1': '40-363'},,
P15801,9.0,"{'1': '101-113', '2': '224-238', '3': '360-369', '4': '651-677', '5': '752-760', '6': '805-818', '7': '852-868', '8': '905-920', '9': '921-937'}",,,1.0,{'1': '18-1033'},2.0,"{'1': '673-909', '2': '96-362'}",2.0,"{'1': '163-376', '2': '362-949'}",1.0,{'1': '745-764'},1.0,{'1': '674-902'},,
P15873,6.0,"{'1': '10-29', '2': '34-52', '3': '56-80', '4': '110-132', '5': '203-217', '6': '240-257'}",,,1.0,{'1': '1-257'},2.0,"{'1': '1-124', '2': '127-253'}",2.0,"{'1': '1-125', '2': '128-257'}",2.0,"{'1': '61-79', '2': '34-57'}",,,1.0,{'1': '1-258'}
P15891,4.0,"{'1': '535-545', '2': '549-564', '3': '566-575', '4': '579-591'}",1.0,{'1': '1-141'},,,2.0,"{'1': '539-585', '2': '19-133'}",1.0,{'1': '514-589'},2.0,"{'1': '532-592', '2': '7-136'}",2.0,"{'1': '535-592', '2': '10-136'}",,
P15938,,,2.0,"{'1': '301-528', '2': '529-714'}",,,4.0,"{'1': '562-693', '2': '358-511', '3': '903-980', '4': '759-785'}",1.0,{'1': '351-886'},3.0,"{'1': '540-735', '2': '468-477', '3': '360-526'}",3.0,"{'1': '577-694', '2': '756-846', '3': '348-535'}",,
P15992,,,1.0,{'1': '59-207'},1.0,{'1': '91-207'},1.0,{'1': '96-207'},1.0,{'1': '66-198'},1.0,{'1': '86-207'},,,,
P16120,,,3.0,"{'1': '109-480', '2': '120-490', '3': '1-94'}",1.0,{'1': '8-511'},2.0,"{'1': '110-353', '2': '8-88'}",1.0,{'1': '5-508'},1.0,{'1': '114-128'},,,1.0,{'1': '65-472'}
P16140,,,,,1.0,{'1': '23-490'},3.0,"{'1': '154-380', '2': '31-97', '3': '386-485'}",1.0,{'1': '101-386'},1.0,{'1': '371-380'},,,1.0,{'1': '27-490'}
P16370,,,2.0,"{'1': '6-258', '2': '43-168'}",1.0,{'1': '3-204'},2.0,"{'1': '55-169', '2': '20-254'}",2.0,"{'1': '172-266', '2': '42-172'}",1.0,{'1': '31-71'},1.0,{'1': '17-261'},,
P16387,,,,,1.0,{'1': '52-396'},1.0,{'1': '87-381'},1.0,{'1': '76-395'},,,,,1.0,{'1': '79-391'}
P16451,,,1.0,{'1': '166-212'},1.0,{'1': '26-239'},1.0,{'1': '34-107'},2.0,"{'1': '31-126', '2': '168-211'}",3.0,"{'1': '32-108', '2': '57-86', '3': '169-210'}",,,,
P16467,,,,,1.0,{'1': '2-561'},3.0,"{'1': '407-515', '2': '202-335', '3': '5-110'}",3.0,"{'1': '183-339', '2': '4-181', '3': '362-550'}",1.0,{'1': '427-446'},,,,
P16474,,,2.0,"{'1': '428-582', '2': '583-655'}",1.0,{'1': '52-611'},1.0,{'1': '52-654'},4.0,"{'1': '429-586', '2': '580-661', '3': '50-233', '4': '235-427'}",3.0,"{'1': '55-62', '2': '242-255', '3': '379-393'}",,,,
P16521,,,5.0,"{'1': '1-328', '2': '419-636', '3': '643-969', '4': '329-418', '5': '762-871'}",1.0,{'1': '642-974'},4.0,"{'1': '446-572', '2': '685-780', '3': '861-925', '4': '336-411'}",3.0,"{'1': '6-1035', '2': '436-615', '3': '669-975'}",5.0,"{'1': '426-641', '2': '667-993', '3': '544-558', '4': '897-911', '5': '171-209'}",2.0,"{'1': '455-616', '2': '693-970'}",,
P16522,,,3.0,"{'1': '9-364', '2': '365-488', '3': '489-573'}",,,4.0,"{'1': '13-336', '2': '398-429', '3': '500-529', '4': '537-565'}",3.0,"{'1': '88-263', '2': '207-434', '3': '397-564'}",3.0,"{'1': '431-464', '2': '465-498', '3': '499-532'}",6.0,"{'1': '215-248', '2': '397-430', '3': '431-464', '4': '465-498', '5': '499-532', '6': '536-569'}",,
