UniProtKB-AC,SUPERFAMILY_Ndomains,SUPERFAMILY_domains,Gene3D_Ndomains,Gene3D_domains,PANTHER_Ndomains,PANTHER_domains,Pfam_Ndomains,Pfam_domains,PROSITE_PROFILE_Ndomains,PROSITE_PROFILE_domains,PROSITE_PATTERN_Ndomains,PROSITE_PATTERN_domains,SMART_Ndomains,SMART_domains,TIGRFAM_Ndomains,TIGRFAM_domains
P43291,1.0,{'1': '2-296'},,,,,1.0,{'1': '4-260'},,,3.0,"{'1': '4-260', '2': '119-131', '3': '10-33'}",1.0,{'1': '4-260'},,
P43297,1.0,{'1': '43-352'},1.0,{'1': '372-434'},1.0,{'1': '43-346'},3.0,"{'1': '386-433', '2': '137-352', '3': '50-108'}",3.0,"{'1': '155-170', '2': '297-307', '3': '312-318'}",3.0,"{'1': '155-166', '2': '295-305', '3': '312-331'}",3.0,"{'1': '375-432', '2': '137-352', '3': '50-108'}",,
P43298,1.0,{'1': '576-878'},2.0,"{'1': '24-321', '2': '323-447'}",1.0,{'1': '5-942'},5.0,"{'1': '591-817', '2': '257-278', '3': '107-146', '4': '26-61', '5': '325-360'}",,,4.0,"{'1': '588-869', '2': '112-133', '3': '713-725', '4': '594-626'}",6.0,"{'1': '588-869', '2': '87-109', '3': '110-133', '4': '134-158', '5': '254-278', '6': '409-431'}",,
P43299,2.0,"{'1': '14-294', '2': '336-647'}",2.0,"{'1': '143-271', '2': '304-643'}",1.0,{'1': '17-658'},4.0,"{'1': '314-536', '2': '15-116', '3': '143-274', '4': '553-636'}",10.0,"{'1': '367-382', '2': '427-441', '3': '455-468', '4': '479-491', '5': '506-514', '6': '120-132', '7': '158-169', '8': '176-187', '9': '193-205', '10': '285-295'}",2.0,"{'1': '326-532', '2': '435-443'}",1.0,{'1': '139-638'},,
P43333,,,1.0,{'1': '1-176'},1.0,{'1': '1-243'},,,,,,,1.0,{'1': '128-146'},,
P45432,1.0,{'1': '324-404'},,,1.0,{'1': '23-436'},3.0,"{'1': '314-396', '2': '104-278', '3': '400-426'}",,,1.0,{'1': '230-400'},1.0,{'1': '329-412'},,
P45434,,,,,,,1.0,{'1': '73-240'},,,,,,,,
P45724,1.0,{'1': '26-717'},2.0,"{'1': '530-651', '2': '17-263'}",1.0,{'1': '26-717'},1.0,{'1': '64-541'},,,1.0,{'1': '199-215'},,,1.0,{'1': '26-707'}
P45725,1.0,{'1': '13-694'},2.0,"{'1': '517-628', '2': '5-250'}",1.0,{'1': '13-694'},1.0,{'1': '51-527'},,,1.0,{'1': '187-203'},,,1.0,{'1': '13-684'}
P46014,2.0,"{'1': '180-293', '2': '317-578'}",1.0,{'1': '313-580'},1.0,{'1': '300-573'},2.0,"{'1': '208-284', '2': '311-570'}",,,3.0,"{'1': '341-349', '2': '208-259', '3': '304-577'}",2.0,"{'1': '207-259', '2': '298-575'}",,
P46248,1.0,{'1': '51-447'},2.0,"{'1': '111-352', '2': '56-445'}",1.0,{'1': '44-451'},1.0,{'1': '79-445'},4.0,"{'1': '226-245', '2': '257-269', '3': '325-350', '4': '394-412'}",1.0,{'1': '295-308'},,,,
P46283,,,,,1.0,{'1': '76-379'},2.0,"{'1': '69-251', '2': '257-377'}",6.0,"{'1': '129-144', '2': '145-165', '3': '205-223', '4': '259-275', '5': '289-309', '6': '351-375'}",1.0,{'1': '320-332'},,,,
P46286,2.0,"{'1': '99-246', '2': '1-97'}",3.0,"{'1': '1-86', '2': '90-169', '3': '170-247'}",1.0,{'1': '4-251'},2.0,"{'1': '2-90', '2': '98-224'}",,,1.0,{'1': '197-208'},2.0,"{'1': '11-90', '2': '96-231'}",,
P46422,2.0,"{'1': '2-83', '2': '94-211'}",,,,,2.0,"{'1': '4-76', '2': '115-206'}",,,2.0,"{'1': '2-83', '2': '93-212'}",,,,
P46603,1.0,{'1': '110-176'},,,1.0,{'1': '39-226'},2.0,"{'1': '112-166', '2': '168-201'}",,,2.0,"{'1': '108-168', '2': '143-166'}",2.0,"{'1': '110-172', '2': '168-211'}",,
P46637,1.0,{'1': '61-338'},,,1.0,{'1': '9-342'},1.0,{'1': '65-336'},,,2.0,"{'1': '56-342', '2': '268-289'}",,,,
P46639,1.0,{'1': '300-374'},,,1.0,{'1': '64-368'},4.0,"{'1': '279-300', '2': '133-174', '3': '189-234', '4': '319-358'}",,,3.0,"{'1': '299-362', '2': '279-299', '3': '337-360'}",4.0,"{'1': '301-366', '2': '279-300', '3': '132-176', '4': '184-235'}",,
P46644,1.0,{'1': '47-445'},2.0,"{'1': '108-349', '2': '53-441'}",1.0,{'1': '46-447'},1.0,{'1': '75-441'},4.0,"{'1': '223-242', '2': '254-266', '3': '322-347', '4': '390-408'}",1.0,{'1': '292-305'},,,,
P46668,1.0,{'1': '59-119'},,,1.0,{'1': '50-238'},2.0,"{'1': '62-115', '2': '117-158'}",2.0,"{'1': '88-97', '2': '97-113'}",2.0,"{'1': '57-117', '2': '92-115'}",1.0,{'1': '60-121'},,
P46689,,,,,,,1.0,{'1': '39-98'},,,,,,,,
P47192,1.0,{'1': '6-121'},,,1.0,{'1': '4-215'},2.0,"{'1': '32-111', '2': '130-210'}",3.0,"{'1': '135-154', '2': '155-174', '3': '191-210'}",3.0,"{'1': '148-167', '2': '10-114', '3': '130-190'}",1.0,{'1': '31-113'},,
P47998,1.0,{'1': '4-313'},2.0,"{'1': '11-304', '2': '47-149'}",1.0,{'1': '5-314'},1.0,{'1': '9-295'},,,1.0,{'1': '35-53'},,,2.0,"{'1': '10-308', '2': '10-308'}"
P47999,1.0,{'1': '75-384'},2.0,"{'1': '81-374', '2': '117-219'}",1.0,{'1': '75-384'},1.0,{'1': '81-366'},,,1.0,{'1': '105-123'},,,2.0,"{'1': '80-378', '2': '80-378'}"
P48000,1.0,{'1': '344-408'},,,1.0,{'1': '109-410'},4.0,"{'1': '322-343', '2': '160-200', '3': '217-267', '4': '362-401'}",,,2.0,"{'1': '342-405', '2': '322-342'}",4.0,"{'1': '344-409', '2': '322-343', '3': '157-201', '4': '213-268'}",,
P48001,1.0,{'1': '308-372'},,,1.0,{'1': '32-375'},4.0,"{'1': '286-307', '2': '124-164', '3': '182-231', '4': '326-365'}",,,2.0,"{'1': '306-369', '2': '286-306'}",4.0,"{'1': '308-373', '2': '286-307', '3': '121-165', '4': '177-232'}",,
P48002,1.0,{'1': '303-367'},,,1.0,{'1': '153-368'},4.0,"{'1': '281-302', '2': '118-159', '3': '171-221', '4': '321-360'}",,,2.0,"{'1': '301-364', '2': '281-301'}",4.0,"{'1': '303-368', '2': '281-302', '3': '116-160', '4': '167-222'}",,
P48006,2.0,"{'1': '139-231', '2': '10-66'}",1.0,{'1': '135-231'},1.0,{'1': '8-231'},1.0,{'1': '144-231'},,,2.0,"{'1': '106-114', '2': '220-231'}",1.0,{'1': '142-231'},,
P48347,1.0,{'1': '3-235'},1.0,{'1': '1-247'},1.0,{'1': '5-237'},1.0,{'1': '11-233'},6.0,"{'1': '37-66', '2': '86-110', '3': '117-139', '4': '152-178', '5': '179-205', '6': '206-235'}",2.0,"{'1': '43-53', '2': '215-234'}",1.0,{'1': '5-246'},,
P48349,1.0,{'1': '6-240'},1.0,{'1': '1-248'},1.0,{'1': '7-242'},1.0,{'1': '13-238'},6.0,"{'1': '42-71', '2': '91-115', '3': '122-144', '4': '157-183', '5': '184-210', '6': '211-240'}",2.0,"{'1': '48-58', '2': '220-239'}",1.0,{'1': '7-247'},,
P48421,1.0,{'1': '29-495'},1.0,{'1': '17-501'},,,1.0,{'1': '31-489'},13.0,"{'1': '300-317', '2': '355-366', '3': '433-442', '4': '442-453', '5': '59-78', '6': '83-104', '7': '177-195', '8': '289-306', '9': '309-335', '10': '354-372', '11': '396-420', '12': '432-442', '13': '442-465'}",1.0,{'1': '435-444'},,,,
P48482,1.0,{'1': '31-309'},1.0,{'1': '7-311'},1.0,{'1': '17-307'},2.0,"{'1': '64-257', '2': '14-62'}",7.0,"{'1': '64-91', '2': '93-120', '3': '126-150', '4': '160-186', '5': '189-216', '6': '246-266', '7': '268-284'}",1.0,{'1': '127-132'},1.0,{'1': '36-306'},,
P48483,1.0,{'1': '22-297'},1.0,{'1': '1-306'},1.0,{'1': '18-298'},2.0,"{'1': '55-248', '2': '6-53'}",7.0,"{'1': '55-82', '2': '84-111', '3': '117-141', '4': '151-177', '5': '180-207', '6': '237-257', '7': '259-275'}",1.0,{'1': '118-123'},1.0,{'1': '27-297'},,
P48484,1.0,{'1': '28-315'},1.0,{'1': '11-319'},1.0,{'1': '13-313'},2.0,"{'1': '68-261', '2': '19-66'}",7.0,"{'1': '68-95', '2': '97-124', '3': '130-154', '4': '164-190', '5': '193-220', '6': '250-270', '7': '272-288'}",1.0,{'1': '131-136'},1.0,{'1': '40-310'},,
P48485,1.0,{'1': '31-309'},1.0,{'1': '7-312'},1.0,{'1': '17-308'},2.0,"{'1': '64-257', '2': '14-61'}",7.0,"{'1': '64-91', '2': '93-120', '3': '126-150', '4': '160-186', '5': '189-216', '6': '246-266', '7': '268-284'}",1.0,{'1': '127-132'},1.0,{'1': '36-306'},,
P48486,1.0,{'1': '22-298'},1.0,{'1': '1-306'},1.0,{'1': '20-298'},2.0,"{'1': '55-248', '2': '6-53'}",7.0,"{'1': '55-82', '2': '84-111', '3': '117-141', '4': '151-177', '5': '180-207', '6': '237-257', '7': '259-275'}",1.0,{'1': '118-123'},1.0,{'1': '27-297'},,
P48491,1.0,{'1': '2-247'},1.0,{'1': '1-254'},1.0,{'1': '2-250'},1.0,{'1': '6-248'},,,2.0,"{'1': '4-247', '2': '164-174'}",,,1.0,{'1': '6-240'}
P48512,2.0,"{'1': '105-196', '2': '207-309'}",,,1.0,{'1': '4-309'},3.0,"{'1': '5-47', '2': '102-185', '3': '206-290'}",8.0,"{'1': '19-39', '2': '41-54', '3': '55-76', '4': '152-171', '5': '179-194', '6': '212-230', '7': '244-260', '8': '276-290'}",2.0,"{'1': '2-34', '2': '144-159'}",2.0,"{'1': '110-192', '2': '211-290'}",,
P48529,1.0,{'1': '2-294'},1.0,{'1': '1-305'},1.0,{'1': '1-305'},1.0,{'1': '45-239'},7.0,"{'1': '45-72', '2': '74-101', '3': '107-131', '4': '142-168', '5': '171-198', '6': '228-248', '7': '250-266'}",1.0,{'1': '108-113'},1.0,{'1': '17-288'},,
P48578,1.0,{'1': '12-298'},1.0,{'1': '8-313'},1.0,{'1': '13-313'},1.0,{'1': '55-248'},7.0,"{'1': '55-82', '2': '84-111', '3': '117-141', '4': '152-178', '5': '181-208', '6': '237-257', '7': '259-275'}",1.0,{'1': '118-123'},1.0,{'1': '27-297'},,
P48623,,,,,1.0,{'1': '22-372'},2.0,"{'1': '79-333', '2': '17-70'}",,,,,,,,
P48732,1.0,{'1': '318-458'},,,1.0,{'1': '249-542'},1.0,{'1': '122-543'},,,,,,,,
P49107,,,1.0,{'1': '87-171'},1.0,{'1': '1-171'},1.0,{'1': '44-171'},,,,,,,,
P49177,1.0,{'1': '54-368'},1.0,{'1': '2-369'},1.0,{'1': '5-369'},1.0,{'1': '17-368'},7.0,"{'1': '61-77', '2': '80-94', '3': '99-114', '4': '117-134', '5': '80-94', '6': '172-186', '7': '220-234'}",6.0,"{'1': '61-102', '2': '152-194', '3': '200-242', '4': '244-285', '5': '337-368', '6': '172-186'}",7.0,"{'1': '54-93', '2': '96-135', '3': '145-185', '4': '192-233', '5': '237-276', '6': '279-323', '7': '326-369'}",,
P49200,1.0,{'1': '24-121'},1.0,{'1': '11-123'},1.0,{'1': '20-123'},1.0,{'1': '26-120'},3.0,"{'1': '24-37', '2': '59-74', '3': '81-95'}",1.0,{'1': '48-63'},1.0,{'1': '26-120'},1.0,{'1': '23-121'}
P49201,1.0,{'1': '20-140'},1.0,{'1': '25-142'},1.0,{'1': '1-142'},1.0,{'1': '38-141'},,,1.0,{'1': '59-66'},,,1.0,{'1': '6-141'}
P49205,1.0,{'1': '1-62'},1.0,{'1': '1-62'},1.0,{'1': '1-125'},1.0,{'1': '1-117'},,,1.0,{'1': '41-56'},,,,
P49206,,,1.0,{'1': '1-114'},1.0,{'1': '1-122'},1.0,{'1': '1-106'},,,1.0,{'1': '73-80'},,,,
P49209,2.0,"{'1': '1-90', '2': '91-187'}",2.0,"{'1': '1-90', '2': '91-194'}",1.0,{'1': '1-190'},2.0,"{'1': '12-90', '2': '102-181'}",,,1.0,{'1': '166-187'},,,,
P49211,1.0,{'1': '2-131'},,,1.0,{'1': '1-133'},1.0,{'1': '16-122'},,,1.0,{'1': '18-38'},1.0,{'1': '15-122'},,
P49333,3.0,"{'1': '606-730', '2': '329-409', '3': '397-581'}",2.0,"{'1': '136-308', '2': '408-589'}",,,5.0,"{'1': '612-724', '2': '158-307', '3': '455-581', '4': '343-408', '5': '17-115'}",3.0,"{'1': '507-521', '2': '525-535', '3': '542-560'}",2.0,"{'1': '611-729', '2': '350-585'}",4.0,"{'1': '610-725', '2': '158-317', '3': '455-583', '4': '343-408'}",,
P49597,1.0,{'1': '118-424'},1.0,{'1': '119-434'},1.0,{'1': '95-423'},1.0,{'1': '129-415'},,,2.0,"{'1': '172-180', '2': '128-422'}",1.0,{'1': '118-420'},,
P49598,1.0,{'1': '100-390'},1.0,{'1': '98-399'},1.0,{'1': '84-389'},1.0,{'1': '106-381'},,,2.0,"{'1': '137-145', '2': '104-389'}",2.0,"{'1': '116-389', '2': '92-387'}",,
P49637,1.0,{'1': '6-145'},,,,,1.0,{'1': '72-143'},,,1.0,{'1': '107-139'},,,,
P49677,,,,,1.0,{'1': '8-164'},1.0,{'1': '36-164'},,,1.0,{'1': '74-161'},,,,
P49688,1.0,{'1': '172-252'},1.0,{'1': '159-252'},1.0,{'1': '48-242'},2.0,"{'1': '180-252', '2': '96-160'}",,,2.0,"{'1': '96-159', '2': '113-145'}",,,1.0,{'1': '49-256'}
P49689,,,,,,,1.0,{'1': '3-59'},,,,,,,,
P49690,1.0,{'1': '11-140'},1.0,{'1': '1-140'},1.0,{'1': '1-140'},1.0,{'1': '21-140'},,,1.0,{'1': '79-105'},1.0,{'1': '19-140'},,
P49691,1.0,{'1': '20-269'},1.0,{'1': '5-310'},1.0,{'1': '6-401'},2.0,"{'1': '29-269', '2': '282-354'}",,,1.0,{'1': '122-148'},,,,
P49692,1.0,{'1': '84-218'},1.0,{'1': '49-232'},1.0,{'1': '41-243'},1.0,{'1': '114-203'},11.0,"{'1': '28-45', '2': '45-62', '3': '65-84', '4': '89-102', '5': '123-143', '6': '184-208', '7': '216-236', '8': '127-141', '9': '146-159', '10': '162-172', '11': '172-186'}",1.0,{'1': '165-182'},,,,
P49967,3.0,"{'1': '98-298', '2': '1-92', '3': '298-433'}",3.0,"{'1': '91-285', '2': '311-451', '3': '5-306'}",1.0,{'1': '1-484'},3.0,"{'1': '102-296', '2': '310-441', '3': '6-83'}",,,1.0,{'1': '269-282'},3.0,"{'1': '101-296', '2': '100-277', '3': '2-87'}",1.0,{'1': '2-427'}
P50651,1.0,{'1': '14-319'},1.0,{'1': '3-319'},1.0,{'1': '19-340'},1.0,{'1': '28-294'},,,1.0,{'1': '117-133'},,,,
P50883,2.0,"{'1': '76-149', '2': '1-87'}",2.0,"{'1': '82-164', '2': '1-81'}",1.0,{'1': '1-164'},2.0,"{'1': '75-144', '2': '13-70'}",,,1.0,{'1': '131-146'},1.0,{'1': '13-145'},,
P51414,1.0,{'1': '8-125'},1.0,{'1': '1-144'},1.0,{'1': '1-141'},2.0,"{'1': '8-121', '2': '51-82'}",,,1.0,{'1': '52-69'},1.0,{'1': '48-75'},1.0,{'1': '9-122'}
P51419,1.0,{'1': '3-135'},1.0,{'1': '1-135'},1.0,{'1': '1-135'},1.0,{'1': '52-135'},,,1.0,{'1': '124-135'},,,,
P51424,1.0,{'1': '3-50'},1.0,{'1': '1-51'},,,1.0,{'1': '9-49'},,,1.0,{'1': '30-46'},,,,
P51430,,,,,1.0,{'1': '1-240'},1.0,{'1': '1-128'},,,1.0,{'1': '52-63'},1.0,{'1': '1-128'},,
P51818,3.0,"{'1': '263-518', '2': '5-212', '3': '542-663'}",2.0,"{'1': '2-229', '2': '518-668'}",1.0,{'1': '4-685'},1.0,{'1': '184-689'},7.0,"{'1': '5-25', '2': '26-48', '3': '75-92', '4': '93-110', '5': '118-140', '6': '170-187', '7': '188-206'}",1.0,{'1': '25-34'},1.0,{'1': '27-182'},,
P52839,1.0,{'1': '38-324'},1.0,{'1': '1-326'},,,1.0,{'1': '65-321'},,,,,,,,
P52901,1.0,{'1': '51-370'},,,1.0,{'1': '28-371'},1.0,{'1': '65-360'},,,,,,,1.0,{'1': '57-369'}
P53492,2.0,"{'1': '6-155', '2': '148-377'}",,,1.0,{'1': '10-371'},1.0,{'1': '5-377'},6.0,"{'1': '28-37', '2': '51-62', '3': '63-85', '4': '117-130', '5': '142-161', '6': '238-254'}",3.0,"{'1': '55-65', '2': '358-366', '3': '106-118'}",1.0,{'1': '7-377'},,
P53496,2.0,"{'1': '6-155', '2': '149-377'}",,,1.0,{'1': '10-371'},1.0,{'1': '5-377'},6.0,"{'1': '28-37', '2': '51-62', '3': '63-85', '4': '117-130', '5': '142-161', '6': '238-254'}",3.0,"{'1': '55-65', '2': '358-366', '3': '106-118'}",1.0,{'1': '7-377'},,
P53497,2.0,"{'1': '6-155', '2': '149-377'}",,,1.0,{'1': '10-371'},1.0,{'1': '5-377'},6.0,"{'1': '28-37', '2': '51-62', '3': '63-85', '4': '117-130', '5': '142-161', '6': '238-254'}",3.0,"{'1': '55-65', '2': '358-366', '3': '106-118'}",1.0,{'1': '7-377'},,
P54144,,,1.0,{'1': '24-485'},,,1.0,{'1': '45-467'},,,1.0,{'1': '198-223'},,,1.0,{'1': '42-467'}
P54609,4.0,"{'1': '25-109', '2': '203-465', '3': '475-764', '4': '111-203'}",2.0,"{'1': '209-373', '2': '467-651'}",1.0,{'1': '35-768'},6.0,"{'1': '29-110', '2': '244-373', '3': '517-651', '4': '130-194', '5': '396-437', '6': '673-714'}",,,2.0,"{'1': '344-362', '2': '621-639'}",4.0,"{'1': '29-112', '2': '240-376', '3': '513-653', '4': '129-195'}",1.0,{'1': '30-767'}
P54887,2.0,"{'1': '294-699', '2': '15-282'}",3.0,"{'1': '303-698', '2': '512-658', '3': '5-286'}",,,2.0,"{'1': '15-260', '2': '291-558'}",5.0,"{'1': '52-66', '2': '96-124', '3': '136-157', '4': '175-202', '5': '234-254'}",2.0,"{'1': '232-249', '2': '607-628'}",,,3.0,"{'1': '302-689', '2': '15-284', '3': '8-716'}"
P55034,1.0,{'1': '4-174'},1.0,{'1': '3-187'},1.0,{'1': '1-385'},3.0,"{'1': '6-115', '2': '223-236', '3': '305-319'}",,,4.0,"{'1': '5-190', '2': '221-240', '3': '282-301', '4': '305-324'}",4.0,"{'1': '2-176', '2': '221-240', '3': '282-301', '4': '305-324'}",,
P55228,2.0,"{'1': '383-520', '2': '89-481'}",1.0,{'1': '70-385'},1.0,{'1': '69-519'},1.0,{'1': '92-365'},,,3.0,"{'1': '96-115', '2': '185-193', '3': '297-307'}",,,1.0,{'1': '90-484'}
P55229,2.0,"{'1': '386-522', '2': '91-483'}",1.0,{'1': '71-387'},1.0,{'1': '52-521'},1.0,{'1': '92-368'},,,3.0,"{'1': '96-115', '2': '186-194', '3': '301-311'}",,,1.0,{'1': '91-486'}
P55737,3.0,"{'1': '263-518', '2': '5-212', '3': '542-663'}",2.0,"{'1': '2-229', '2': '518-668'}",1.0,{'1': '4-685'},1.0,{'1': '184-689'},7.0,"{'1': '5-25', '2': '26-48', '3': '75-92', '4': '93-110', '5': '118-140', '6': '170-187', '7': '188-206'}",1.0,{'1': '25-34'},1.0,{'1': '27-182'},,
P55852,1.0,{'1': '5-93'},,,,,1.0,{'1': '18-88'},,,1.0,{'1': '16-93'},1.0,{'1': '18-89'},,
P57106,2.0,"{'1': '157-331', '2': '4-154'}",1.0,{'1': '156-332'},1.0,{'1': '3-330'},2.0,"{'1': '6-153', '2': '157-326'}",,,1.0,{'1': '156-168'},,,2.0,"{'1': '3-326', '2': '7-329'}"
P57720,1.0,{'1': '55-422'},1.0,{'1': '58-434'},1.0,{'1': '53-423'},1.0,{'1': '59-406'},,,3.0,"{'1': '65-80', '2': '173-189', '3': '380-396'}",,,1.0,{'1': '59-410'}
P57741,,,1.0,{'1': '40-180'},1.0,{'1': '11-184'},1.0,{'1': '54-175'},,,,,,,,
P57742,,,1.0,{'1': '9-149'},1.0,{'1': '7-147'},1.0,{'1': '28-144'},,,,,,,1.0,{'1': '15-144'}
P58684,,,,,1.0,{'1': '3-187'},1.0,{'1': '24-181'},,,,,,,,
P58728,,,,,1.0,{'1': '1-86'},1.0,{'1': '5-82'},,,,,,,,
P59169,1.0,{'1': '2-133'},1.0,{'1': '2-136'},1.0,{'1': '1-136'},1.0,{'1': '44-131'},7.0,"{'1': '3-17', '2': '17-31', '3': '34-55', '4': '58-75', '5': '80-98', '6': '98-114', '7': '114-135'}",2.0,"{'1': '15-21', '2': '67-75'}",1.0,{'1': '34-136'},,
P59220,1.0,{'1': '2-147'},,,1.0,{'1': '2-148'},2.0,"{'1': '12-73', '2': '83-147'}",,,8.0,"{'1': '8-43', '2': '44-79', '3': '81-116', '4': '117-149', '5': '21-33', '6': '57-69', '7': '94-106', '8': '130-142'}",4.0,"{'1': '12-40', '2': '48-76', '3': '85-113', '4': '121-149'}",,
P59224,1.0,{'1': '66-142'},,,1.0,{'1': '1-151'},2.0,"{'1': '74-146', '2': '1-60'}",,,1.0,{'1': '98-128'},2.0,"{'1': '70-149', '2': '1-60'}",,
P59226,1.0,{'1': '2-133'},1.0,{'1': '2-136'},1.0,{'1': '1-136'},1.0,{'1': '44-131'},7.0,"{'1': '3-17', '2': '17-31', '3': '34-55', '4': '58-75', '5': '80-98', '6': '98-114', '7': '114-135'}",2.0,"{'1': '15-21', '2': '67-75'}",1.0,{'1': '34-136'},,
P59232,2.0,"{'1': '100-154', '2': '1-93'}",1.0,{'1': '81-155'},1.0,{'1': '1-87'},2.0,"{'1': '3-74', '2': '102-149'}",3.0,"{'1': '11-31', '2': '32-52', '3': '53-74'}",2.0,"{'1': '1-76', '2': '27-52'}",2.0,"{'1': '1-72', '2': '102-147'}",,
P59233,2.0,"{'1': '100-154', '2': '1-93'}",1.0,{'1': '81-154'},1.0,{'1': '1-87'},2.0,"{'1': '3-74', '2': '102-149'}",3.0,"{'1': '11-31', '2': '32-52', '3': '53-74'}",2.0,"{'1': '1-76', '2': '27-52'}",2.0,"{'1': '1-72', '2': '102-147'}",,
P59259,1.0,{'1': '3-102'},1.0,{'1': '2-103'},1.0,{'1': '1-102'},1.0,{'1': '44-96'},6.0,"{'1': '5-16', '2': '20-39', '3': '40-60', '4': '62-76', '5': '77-89', '6': '89-100'}",1.0,{'1': '15-19'},1.0,{'1': '16-90'},,
P59583,2.0,"{'1': '163-226', '2': '326-390'}",2.0,"{'1': '156-227', '2': '315-391'}",1.0,{'1': '121-416'},2.0,"{'1': '169-224', '2': '332-388'}",,,2.0,"{'1': '169-226', '2': '325-390'}",2.0,"{'1': '167-225', '2': '330-389'}",,
P60039,1.0,{'1': '83-242'},1.0,{'1': '83-242'},1.0,{'1': '5-242'},2.0,"{'1': '8-79', '2': '84-134'}",,,1.0,{'1': '102-134'},,,1.0,{'1': '9-242'}
P60040,1.0,{'1': '83-242'},1.0,{'1': '83-242'},1.0,{'1': '5-242'},2.0,"{'1': '8-79', '2': '84-134'}",,,1.0,{'1': '102-134'},,,1.0,{'1': '9-242'}
P60300,2.0,"{'1': '48-562', '2': '562-738'}",1.0,{'1': '561-739'},1.0,{'1': '19-744'},2.0,"{'1': '691-738', '2': '127-540'}",12.0,"{'1': '139-156', '2': '170-189', '3': '234-253', '4': '459-479', '5': '491-507', '6': '509-528', '7': '547-561', '8': '44-52', '9': '255-263', '10': '269-279', '11': '287-294', '12': '411-427'}",1.0,{'1': '687-748'},,,,
P61837,1.0,{'1': '45-278'},1.0,{'1': '37-284'},1.0,{'1': '12-281'},1.0,{'1': '44-273'},6.0,"{'1': '52-71', '2': '94-118', '3': '131-150', '4': '180-198', '5': '216-238', '6': '256-276'}",1.0,{'1': '112-120'},,,1.0,{'1': '56-273'}
P62598,2.0,"{'1': '193-252', '2': '16-136'}",,,1.0,{'1': '17-403'},2.0,"{'1': '197-246', '2': '19-127'}",,,2.0,"{'1': '18-133', '2': '192-251'}",1.0,{'1': '17-129'},1.0,{'1': '195-248'}
P82280,2.0,"{'1': '185-289', '2': '63-119'}",2.0,"{'1': '176-299', '2': '63-120'}",1.0,{'1': '63-313'},2.0,"{'1': '63-111', '2': '188-286'}",,,2.0,"{'1': '64-119', '2': '188-291'}",2.0,"{'1': '64-125', '2': '188-293'}",,
P84634,3.0,"{'1': '172-608', '2': '1102-1265', '3': '1290-1454'}",5.0,"{'1': '122-360', '2': '464-626', '3': '1098-1262', '4': '1286-1454', '5': '652-752'}",,,5.0,"{'1': '1119-1251', '2': '1327-1436', '3': '474-589', '4': '656-744', '5': '126-289'}",,,8.0,"{'1': '1327-1335', '2': '1113-1251', '3': '1292-1436', '4': '475-629', '5': '932-1054', '6': '656-748', '7': '131-307', '8': '1621-1697'}",7.0,"{'1': '1101-1271', '2': '1307-1459', '3': '502-592', '4': '931-1080', '5': '120-317', '6': '1463-1527', '7': '1622-1696'}",,
P92937,1.0,{'1': '11-274'},,,,,2.0,"{'1': '12-266', '2': '303-359'}",,,4.0,"{'1': '12-266', '2': '130-142', '3': '18-50', '4': '299-323'}",1.0,{'1': '12-266'},,
P92939,4.0,"{'1': '149-260', '2': '25-1043', '3': '388-627', '4': '379-833'}",2.0,"{'1': '378-774', '2': '391-630'}",,,3.0,"{'1': '27-94', '2': '815-1040', '3': '147-262'}",,,1.0,{'1': '383-389'},1.0,{'1': '25-99'},3.0,"{'1': '118-307', '2': '320-402', '3': '703-813'}"
P92942,2.0,"{'1': '63-577', '2': '579-761'}",1.0,{'1': '583-763'},1.0,{'1': '40-765'},2.0,"{'1': '709-761', '2': '142-555'}",12.0,"{'1': '154-171', '2': '185-204', '3': '249-268', '4': '474-494', '5': '506-522', '6': '524-543', '7': '562-576', '8': '59-67', '9': '270-278', '10': '284-294', '11': '302-309', '12': '426-442'}",1.0,{'1': '708-770'},2.0,"{'1': '597-656', '2': '711-764'}",,
P92947,2.0,"{'1': '59-262', '2': '217-382'}",3.0,"{'1': '396-483', '2': '64-379', '3': '186-313'}",1.0,{'1': '60-478'},2.0,"{'1': '63-376', '2': '394-474'}",,,,,,,,
P92948,1.0,{'1': '33-108'},,,1.0,{'1': '1-801'},1.0,{'1': '407-655'},,,4.0,"{'1': '2-53', '2': '54-103', '3': '2-57', '4': '58-107'}",2.0,"{'1': '6-55', '2': '58-105'}",,
P92958,3.0,"{'1': '293-336', '2': '17-294', '3': '329-511'}",,,,,3.0,"{'1': '20-272', '2': '468-511', '3': '294-330'}",,,5.0,"{'1': '20-272', '2': '463-511', '3': '139-151', '4': '293-333', '5': '26-49'}",2.0,"{'1': '20-272', '2': '295-332'}",,
P92963,1.0,{'1': '2-179'},1.0,{'1': '1-182'},1.0,{'1': '1-194'},1.0,{'1': '8-168'},,,1.0,{'1': '1-211'},1.0,{'1': '9-170'},1.0,{'1': '7-160'}
P92964,1.0,{'1': '2-168'},2.0,"{'1': '1-85', '2': '86-175'}",1.0,{'1': '4-105'},2.0,"{'1': '4-60', '2': '95-157'}",,,2.0,"{'1': '2-74', '2': '93-164'}",2.0,"{'1': '3-70', '2': '94-160'}",,
P92973,1.0,{'1': '18-74'},,,,,1.0,{'1': '24-67'},,,3.0,"{'1': '19-69', '2': '22-73', '3': '19-73'}",1.0,{'1': '23-71'},1.0,{'1': '22-71'}
